Time Stamp;Name;Message
5:54;Y2lazer;Hell
5:55;SupremeSniper;Me YNA
5:55;Lord Pickle;HI MOM
5:56;Bezawit Wubshet;basically no mistakes run
5:57;tomsee;!song
5:57;Mag!c YT;fall
5:57;NapoleonEgg;I was looking forward to that
5:57;FineDragoon;song
5:57;ironAGENT M;Music name? Ifve heard it before
5:57;Bibob;I love this game
5:57;Vixey Teh;:_ludwigHi::_ludwigHi::_ludwigHi::_ludwigHi::_ludwigHi::_ludwigHi::_ludwigHi:
5:58;AndreSav14;Fall
5:58;PogMinecrafter;Free subs
5:58;shiek syed jaleel mohamed;Lessssss goooooooo
5:58;Jake_Kage;I would jump personally
5:58;JG;Been watching one piece all day. But switching to this LETSGO
5:59;Incog_The_Neato;what game is this?
5:59;Wolf Braxen;the lud way
5:59;Lenny RRR;do u have tts on
5:59;Chris Fleming;what game is this
5:59;hesitantsandra;tiny little prediction going
6:00;Y2lazer;Hello
6:01;gojo_fan;GOOOOOOOOOOOD GAMER
6:01;Gled;didnt it take you 5 hours last time 
6:01;BearBlu;?????
6:01;QuackerDeezles;HI YOUTUBE
6:02;AsbestosPhobia;Only Down
6:02;Brody Keller;Donft fall
6:02;Mustard;I BELIEVE 
6:03;Ali call;USA USA USA USA USA AMERICAAAAA FUCK YEAH
6:03;Not hinks;HEEHEE
6:03;E_E;GOD GAMER
6:04;Crystalline Punk;this kid got wild upper body strength
6:05;HamboLovesLego;Hi
6:05;Ianthegreatest;omg
6:06;George Hall;Big balls
6:06;lauren swift;CHILLLL
6:06;litsodaa;GOD GAMER
6:07;mikewazowski;CHOKING
6:07;Hyrum Hansen;How do I allow gifted a subs
6:07;Logan ;I BELIEVE THAT WE WILL WIN
6:08;Idk;Dare you to jump off lol
6:08;wanne;nahhh the savesss
6:08;StreamElements;DOWNLOAD THE TRUFFLE EXTENSION (GET EMOTES, PREDICTIONS, AND MORE) HERE: https://truffle.vip/extension
6:08;Brody Keller;Already lost
6:08;Bubbly Art;Chilllll
6:09;That cool grandpa;Honestly id be done by now
6:09;Miolpurst;playing a dangerous game
6:09;Venomous 7;Hey lud, looking cute :smiling_face_with_sunglasses:
6:09;Maxime Steenberghe;:face-fuchsia-poop-shape::face-fuchsia-poop-shape::face-fuchsia-poop-shape:
6:09;JamesChess52;what's the song name
6:09;Mercury;loodwig
6:09;Mr_Games;you are pretty close to 5M 
6:10;baylor reynODLAS;Shout out my dad its father day his name is justinShout out my dad its father day his name is justin
6:10;aliyah;lol
6:10;ltsEdwin;hes gonna fall
6:10;Sevest;CALMM
6:10;Alasdair;BRUH
6:11;loosh;hefs so cooked
6:11;Gumptherr;:face_with_raised_eyebrow::face_with_raised_eyebrow::face_with_raised_eyebrow::face_with_raised_eyebrow:
6:11;Preston Knowles;Itfs not him playing 
6:11;rockersock;Fall for the content
6:11;Javi.k!dd;Not world record pace - :nerd_face::index_pointing_up:
6:11;KingJoa_07;Ludwig Ultra focused jejeje :rolling_on_the_floor_laughing: 
6:11;Micah Miller;peepoSitBusiness doubt time YEP 
6:11;Rexded;it's already bidone
6:12;Ratatouille;this reminds me of fall guys
6:12;Ligenth;Hi yt
6:12;Apollo11ths;Something sus is up with the picture quality...
6:13;litsodaa;GOD GAMER
6:13;Patrick Clause;is RRS on?
6:13;Jeremy Patterson;EVERYONE JUST CHILL OUT!!!!!!
6:14;Aaron Gillen;balls
6:14;Felicia DL;HI YIUTUBE
6:15;Brody Keller;GOD GAMER
6:15;Kibi ;chill 
6:15;T Bo;Still at pipes lol
6:15;breezy6056;HE GONNA FFFAAAAAAAALLLLLLLLLLLLLL
6:16;nyimul;hello i really like this stream
6:16;gojo_fan;GOD GAMER
6:16;Isaiah Maxey;LET'S GO LUD
6:16;Logan ;I BELIEVE THAT WE WILL WIN
6:16;Kylb3rt;needless to say, he'll be gifting 100 subs today
6:16;bees;BROOO CHIKLLLL
6:16;Chex ‚¿;Yoooo
6:17;Mika Zirklewski;I thought he already beat it?
6:18;Bas Gamez;gCHILLh he says
6:18;EralesMan;Sweaty hands boy
6:18;m e m e m a c h i n e;C H I L L 
6:18;Nyachan;monkaSHAKE chill
6:18;Erin Caitlin;Hi chat, hi lud
6:18;cmcknett;w
6:19;P Noname;holy shit the anxiety lol 
6:19;Someone Something;LETSGO
6:20;Money;STANKY BALLS GOBBLER
6:21;Dino nuggets;Do you practice on stream
6:22;Brandon Hiles;Thanks for the early sub @Ludwig 
6:23;ironAGENT M;This kid works out like crazy
6:23;Preston Knowles;I can sense it in his presence 
6:23;Aspect;I LOVE AMERICA ALMOST AS MUCH AS I LOVE MEN
6:23;TrippyTresor;bruh there are two toswers in the skyline
6:23;LightningGorilla;Slower
6:23;Nathen Maldonado;Jump off
6:24;Heddvi;God gamer canft walk in circles
6:24;Horiole ;you're not that guy
6:25;Hank;Fall
6:25;Lord Pickle; MURICAAAAA FUCK YEAH
6:25;Splitzy;Donft fall lol
6:25;Angry Bulldog Gaming;:face-orange-biting-nails: monkaPhew 
6:25;shiek syed jaleel mohamed;Crazy
6:26;stormlight_05;LETSGO 
6:27;tomsee;!songname
6:27;gojo_fan;W
6:28;Logan ;I BELIEVE THAT WE WILL WIN
6:29;P Noname;crushing it
6:29;Gayge;Pog ?
6:29;NapoleonEgg;Who likes chicken nuggets
6:30;Evan Olsen;Letfs get it lud
6:30;liz :0;YES GOOO
6:31;SpongeBob.Ripped;this game gives me huge anxiety and I never get anxiety
6:32;Benald Hofland;ludwigTax
6:32;Maxime Steenberghe;:glasses-purple-yellow-diamond:
6:32;Chris Phillips;OMEGADOWN
6:32;Z;WR LETS GO
6:33;Driver RX-7;
6:33;Felicia DL;HI YOUTUBE
6:33;bees;IM CLENCHING MY CHEEKS HARD RN
6:33;Colin B;4.99 mil :flushed_face:
6:34;Inez Fraga Smith;Woooohhhhhh
6:34;Phasair;GOD GAMER
6:34;1ce cube;Fall please
6:35;Mastermatt287;We getting 100 subs? LETS GOOOOO
6:36;Nic Ali;Still on pipes
6:36;RH1XOLDZ;Hi everyone hi Ludwig 
6:36;Jaspar Vapper;1h later 
6:37;shiek syed jaleel mohamed; :grinning_face:
6:37;Alageild TV;damn, he's really going up, didn't know he had it in him
6:37;Jeremy Patterson;pog
6:37;Aaron Gillen;just dont fall
6:37;Nob;i believe
6:38;Eric O'Connor;Hi 
6:38;Raiki Krembil;you should speedrun mars mars
6:38;gojo_fan;I was here
6:38;Capt Pizza;what song is this?
6:38;Jake Editz;Only 58 minutes left 
6:39;NapoleonEgg;:poultry_leg: 
6:39;LightningGorilla;Donft go so fast
6:40;Capybara with ;He is cooking 
6:40;Gumptherr;DUDE HURRY UP
6:41;Chex ‚¿;Yessir
6:41;Jake_Kage;:pile_of_poo:
6:41;Hugh Jazz;the summoning salt music surely will help
6:42;Dawn Seder;good luck
6:43;Benfs Big Bannaza;Love u 
6:43;Inez Fraga Smith;HEELLLOOOOO
6:44;lex;peepoSitBusiness doubt time 
6:44;Maxime Steenberghe;Hi
6:44;scoopy scoop;!songname
6:45;Allison McCollum;cool
6:45;Money;STANKY BALLS GOBBLER
6:45;Junia M;Good werk so far! Dont choke:face_with_hand_over_mouth::face_with_hand_over_mouth:
6:45;Ch,ky;:_ludwigT:goooodmorning In aus 
6:46;Aferay;how long is the world record
6:47;audrey almanzar;you got this
6:47;KK;Clueless WR strats
6:48;NapoleonEgg;And eat it
6:48;Felicia DL;HI YOUTUBE:_ludwig7::_ludwigStar:
6:48;Niko;charlie is goat at this
6:48;Levi;Fall
6:49;Chex ‚¿;W
6:50;shiek syed jaleel mohamed;:man_student::cold_face::cold_face::cold_face::cold_face::cold_face:
6:50;E_E;Up we go
6:50;Herotbe;5 MILLION !! 5 MILLION !!
6:51;ironAGENT M;gThe prosh
6:52;aliyah;W
6:53;marcel;WICKED 
6:53;Brandon Hiles;HI YT COMMENT SECTION
6:53;Hank;Nope you fall
6:53;DR TEETH;15k on believe lets go
6:54;Mercury;PRO
6:54;MexicanBeans;Your not a pro
6:54;ElectricSnivy;mewSpinPlus
6:54;DerBorito;Zod gamer gauntlet 2.0?
6:54;Ali call;4.99 LETSGO 
6:55;Richard L;Pog
6:55;Micah Miller;20k on doubt LETSGO 
6:55;Sevest;WW
6:56;hesitantsandra;Slayyy 
6:57;hunter_hues;Pog 
6:57;Robbie Cargill;Pog
6:57;fries;what is this game
6:57;Bas Gamez;TREE STRAT!!!!
6:58;Jack Edgley;WICKED
6:58;Slim Topher;this lofi girl stream rocks
6:58;Its_SJ;GOD GAMER
6:58;PeterBanana;W
6:58;Trnky;"video is going to be like ""tried to speedrun the game, accedintely got the world record""\"
6:58;Jake Editz;Cracked
6:59;cantAbscond;the commentary sounds like someone is playing for you. I have trust issues with all the cheatwig lately
6:59;Jeremy Patterson;WICKED
6:59;Gayge;Pog hes too good
6:59;TheRealBoofy;LETS GOOO
6:59;aliyah;W
6:59;Spy97;LETS GOO
7:00;Te >.<;lets gooooo
7:00;KingJoa_07;Wooooow
7:00;ironAGENT M;Pog 
7:00;Driver RX-7;KENDRICK LAMAR IS THE GOAT
7:00;Jacob Zaplatynskyj;Pog
7:00;finny;HI YT :D
7:00;Kylb3rt;ludwig is pro <3
7:01;Lamya Islam;Pog
7:01;Angelclysm;W
7:01;Ianthegreatest;W
7:01;MinutesDraggin;LFG!!!!
7:02;Jayden Bourke-Einav;w
7:02;Christopher Mcgovern;w
7:02;That cool grandpa;Donft get to hyped up
7:02;MattyG23;GOD GAMER
7:02;gojo_fan;GOD GAMER
7:02;TheTrippyT;Ludwig likes men 
7:03;StreamElements;@Slim Topher, why dont u lo-find some hoes
7:03;Nikki Chin;Slayyy 
7:03;MagnusHC;do the waifu skip 
7:03;fries;?game
7:03;KK;WICKED
7:04;Eddy_;CHEATER
7:04;NapoleonEgg;Do they jump on the bed multiple times?
7:04;RH1XOLDZ;Loved the video earlier youfve got this
7:05;Ligenth;Ludpog
7:06;Oskar Starup;what is this game
7:06;Patryk;Still on the rails lmao
7:06;1ce cube;Your not one of them
7:06;DMAN109;HI YOUTUBE
7:06;Splitzy;I beat it in 3 hours
7:07;Kakashi Lord;Cap
7:07;ZeroBuffalo;Pog
7:07;dwasd;turn you camera
7:08;Sana Nashat;Hola!!!!
7:08;Gabe Cortez;is this fakewig again?
7:08;Wolf Braxen;pro gamer move at noob pace
7:08;TuxedoMusk;Ludwig 4TW!!!
7:08;Aaronmaster125;W
7:08;Wai Man Saw;Someone else definitely playing 
7:08;Ryland Starnes;balls
7:09;Mr_Games;god gamer
7:09;A Person;GOD GAMER LETSGO
7:09;dionysus;HES INSANE
7:09;PeterBanana;LUDWIG GOD GAMER
7:09;Jackrabbit567;you got this Ludwig
7:10;saiki~;W
7:10;Misak;CRACKED
7:10;shiek syed jaleel mohamed;LUD U CRAZY
7:10;Pinz07;yoooooo
7:10;Kenshin mabazza;GOD GAMER
7:11;Alageild TV;literaly just better
7:11;Schopenhowitzer;built different
7:11;Jacob Zaplatynskyj;W
7:12;Zac Ballow;Poggers
7:12;Mercury;YOUTUBE
7:12;George Taylor;deffo practiced
7:12;Nob;GOD GAMER
7:12;Ethan Schwartz;HE BE ZOOMING
7:13;Mastermatt287;GOD GAMER
7:13;NapoleonEgg;Likes last night
7:13;TheServeris;Who is he paying to run this for him?
7:13;Something random;God gamer moment
7:14;Ethan Bundy;what game is this
7:14;Angry Bulldog Gaming;POGGIES 
7:14;viper;I WAS HEREEE
7:14;Celique Williams;check his hours
7:14;Alberto Live;a bit sus aint it
7:14;y2llow;Based
7:15;BlondeBozo;While you were pogging Ludwig was studying the blade
7:15;Russianhuskey52;Pig
7:16;E_E;GOD GAMERRRRR
7:16;Matthew Owen;god gamer
7:16;Inez Fraga Smith;Yiiii
7:16;Jake Editz;Lud on top
7:16;Moshiroez;GOD GAMER
7:17;MonkeyMan1;liar you play this every day
7:17;BushyBot;someones in the room 
7:18;hxduck;Whofs the guy playing for you this time? :eyes: 
7:18;sweeeeeeezy;EZ 
7:18;J;is this the new sonic?
7:18;bees;HES A CXHEATING GODDD
7:18;Nikki Chin;right what chinese kid have you got in the back playing 
7:19;Aspwil;beat it in 25 min
7:19;gojo_fan;W STREAMER
7:19;Arjun Sharma;W
7:19;SauceMaster64;who's in the room?
7:19;Riley;F
7:19;Isaiah Maxey;DO IT
7:19;Dak;yes
7:20;viper;ULAS MALSIN AMK
7:20;ThePuppetGames;is this a cheater stream again
7:20;Zayd Kehr;uygggggguhhghudfczkuydfvhhhfvf
7:21;Matthew Beckett;Dam
7:22;Rayen Khelifi;Susge are you cheating again?
7:22;Vizz :3;You are him 
